,result,top_win_rate,top_lane_kill_rate,top_kda,top_kill_participate,top_damage,jg_win_rate,jg_kda,jg_kill_participate,jg_damage,mid_win_rate,mid_lane_kill_rate,mid_kda,mid_kill_participate,mid_damage,adc_win_rate,adc_lane_kill_rate,adc_kda,adc_kill_participate,adc_damage,sup_win_rate,sup_lane_kill_rate,sup_kda,sup_kill_participate
312,0,0.40049999999999997,0.5201,0.39622641509433965,0.47989949748743727,0.5154472856336211,0.5272,0.5110220440881763,0.4908212560386473,0.4800587881622019,0.46409999999999996,0.5677,0.43115124153498874,0.48366013071895425,0.5209475535326368,0.42,0.45520000000000005,0.39662447257383965,0.45887016848364715,0.48689356304830356,0.4303,0.5698,0.5173611111111112,0.45714285714285713
313,0,0.4829,0.5118,0.5254237288135594,0.5045395590142672,0.4706562256190944,0.5024000000000001,0.453125,0.4720496894409938,0.6036455809445708,0.4954,0.664,0.4723809523809524,0.48459958932238195,0.534361189731367,0.5036,0.5891,0.5274509803921569,0.5257623554153523,0.5120157736024125,0.4484,0.6777,0.4314516129032258,0.4546402502606882
314,0,0.5887,0.5654,0.6173708920187794,0.5460440985732815,0.5196516967853522,0.4618,0.4642126789366053,0.49798792756539234,0.47777280191073296,0.6292,0.6409999999999999,0.6537162162162162,0.5264248704663212,0.4646774193548387,0.4983,0.5338,0.5208747514910537,0.509783728115345,0.5364059066986868,0.4,0.7059000000000001,0.4706994328922496,0.44507361268403167
315,0,0.48240000000000005,0.3044,0.47193877551020413,0.48494983277591974,0.524586015912733,0.47340000000000004,0.4856046065259117,0.5046728971962616,0.47437337775539457,0.4736,0.4976,0.48770491803278687,0.4951664876476907,0.5309636878207895,0.46890000000000004,0.5111,0.5122950819672131,0.5081967213114754,0.5116575260572349,0.4303,0.5698,0.5173611111111112,0.45714285714285713
316,0,0.5242,0.4746,0.4716981132075472,0.4875164257555848,0.5359663100386979,0.5108,0.4989939637826961,0.505091649694501,0.5626517727051967,0.43460000000000004,0.42719999999999997,0.4238683127572017,0.4772209567198178,0.423890451155398,0.4533,0.47600000000000003,0.4652509652509653,0.4807692307692308,0.47166156182099006,0.5048,0.6865000000000001,0.5275142314990512,0.4694323144104804
317,0,0.5221,0.5259,0.46703296703296704,0.49384404924760605,0.5422946105135082,0.4985,0.5329087048832272,0.5138461538461538,0.541582819252466,0.4434,0.6117,0.46123260437375746,0.4790356394129979,0.47214448590381425,0.46049999999999996,0.38189999999999996,0.38809034907597534,0.4491525423728813,0.44192692386201265,0.47159999999999996,0.5753,0.5281456953642384,0.45050055617352613
318,1,0.5073,0.516,0.4133064516129032,0.46464646464646464,0.516138632612754,0.5031,0.5253378378378378,0.49860465116279074,0.45669410254474063,0.48090000000000005,0.4814,0.4129930394431555,0.48212351029252437,0.47887990043559425,0.5388000000000001,0.5054,0.5098425196850394,0.49587628865979383,0.46724270723019157,0.5432,0.3825,0.50187265917603,0.5303347280334728
319,1,0.5529999999999999,0.5763,0.5767441860465117,0.5152582159624414,0.4295767306088407,0.48740000000000006,0.4600389863547758,0.4790836653386454,0.4655607128531316,0.5079,0.563,0.45010615711252655,0.49945355191256835,0.5391140912323479,0.48729999999999996,0.5645,0.5029126213592232,0.5025693730729702,0.4526608096138654,0.5111,0.5265,0.544839255499154,0.49095295536791317
320,0,0.5287,0.3909,0.5393013100436681,0.5118898623279098,0.4754017880212909,0.48119999999999996,0.43791946308724833,0.4962894248608534,0.5668056300821398,0.528,0.2346,0.47686116700201203,0.5158562367864693,0.5701848839606863,0.48610000000000003,0.48229999999999995,0.5261044176706827,0.5109261186264309,0.5528000571197372,0.5057,0.5014,0.5009208103130756,0.47038724373576307
321,0,0.4565,0.2977,0.5696969696969697,0.5267441860465116,0.39056571719802935,0.5043,0.5661881977671451,0.4995169082125604,0.4095490716180371,0.5544,0.4045,0.5440313111545988,0.5270988310308183,0.5371588059983916,0.4757,0.5157,0.533066132264529,0.5040983606557378,0.4739926360006223,0.5197999999999999,0.5354,0.4959839357429719,0.4839424141749723
322,1,0.5284000000000001,0.5417000000000001,0.5912087912087912,0.5327564894932014,0.5158113887013279,0.503,0.4767441860465116,0.47708138447146864,0.43429882920310275,0.4736,0.4976,0.48770491803278687,0.4951664876476907,0.5309636878207895,0.49600000000000005,0.5659000000000001,0.5755102040816326,0.5203252032520325,0.502620774001922,0.4612,0.5049,0.4877622377622377,0.37283621837549935
323,0,0.4675,0.5356000000000001,0.3972602739726028,0.45952677459526775,0.5158734393341159,0.4661,0.5,0.5225933202357563,0.5868932639920753,0.4798,0.7561,0.5067961165048543,0.5055165496489469,0.5580052742866646,0.531,0.4907,0.4951076320939335,0.5,0.5201803124017192,0.47270000000000006,0.49420000000000003,0.4305555555555555,0.4707207207207207
324,1,0.4893,0.49689999999999995,0.4574468085106383,0.4552238805970149,0.4173365670218274,0.4633,0.4869215291750503,0.4966634890371783,0.45206220419202164,0.47340000000000004,0.45530000000000004,0.5284552845528455,0.5124481327800829,0.5324054686537751,0.48,0.3923,0.42209072978303747,0.488599348534202,0.696177198873851,0.4891,0.5384,0.5172413793103449,0.44552319309600863
325,0,0.4893,0.49689999999999995,0.4574468085106383,0.4552238805970149,0.4173365670218274,0.5107,0.5224489795918367,0.5181907571288102,0.44708135280238004,0.526,0.48840000000000006,0.4051724137931035,0.46761800219538974,0.4578283921229171,0.47450000000000003,0.4836,0.48007590132827327,0.4936034115138593,0.4255524666635254,0.4612,0.508,0.4558303886925795,0.4713024282560707
326,1,0.5972999999999999,0.4546,0.5844155844155844,0.523076923076923,0.5313351498637602,0.5566,0.5335968379446641,0.508664627930683,0.4610718247365502,0.5121,0.8085,0.5239005736137667,0.5084388185654009,0.5905877387358869,0.4853,0.5343,0.5048543689320388,0.5085287846481876,0.4686874527420718,0.517,0.5212,0.5209059233449478,0.48632218844984804
327,1,0.52,0.5636,0.5706521739130435,0.5293333333333333,0.5099827309358621,0.4961,0.435126582278481,0.5145914396887159,0.6044900994701125,0.41159999999999997,0.4646,0.438177874186551,0.47362869198312235,0.470656259034403,0.537,0.6103999999999999,0.5916030534351145,0.5482233502538071,0.5036569866430062,0.4953,0.4914,0.478515625,0.47535596933187296
328,0,0.4974,0.4218,0.43410852713178294,0.4736842105263158,0.47351044226044225,0.5306000000000001,0.5618661257606491,0.5220061412487206,0.5455010388365031,0.5414,0.4409,0.5066964285714285,0.5114107883817427,0.5002084587946449,0.5074000000000001,0.5044,0.5541922290388548,0.5201207243460765,0.5596993576239889,0.48700000000000004,0.4926,0.4415322580645161,0.47270742358078605
329,1,0.4798,0.6463,0.5828877005347594,0.5390625,0.5345955154979116,0.4827,0.4694915254237288,0.504147465437788,0.5311752949014382,0.46770000000000006,0.5596,0.47046843177189407,0.4920297555791711,0.46678724457937687,0.516,0.46799999999999997,0.5076045627376425,0.5,0.537832407516842,0.507,0.4517,0.4991652754590985,0.5374149659863946
331,1,0.5242,0.4746,0.4716981132075472,0.4875164257555848,0.5359663100386979,0.4818,0.47023809523809523,0.4990157480314961,0.5186489778450801,0.5086999999999999,0.3084,0.5270270270270271,0.49739854318418314,0.4954372438024595,0.5467000000000001,0.524,0.5347490347490348,0.5192307692307692,0.5283384381790099,0.5325,0.39390000000000003,0.5228519195612431,0.5005688282138794
333,1,0.5024000000000001,0.43729999999999997,0.4417989417989418,0.476319350473613,0.489769623254136,0.5146000000000001,0.5644067796610169,0.5059171597633135,0.3721775806275679,0.4696,0.49689999999999995,0.5334538878842676,0.4963805584281282,0.49061264822134387,0.4728,0.4275,0.532608695652174,0.5129265770423992,0.5303213812917218,0.5273,0.5058,0.5694444444444444,0.5292792792792793
334,1,0.4311,0.4721,0.4444444444444445,0.4936868686868687,0.46041155051232113,0.5064,0.5105566218809982,0.5124423963133641,0.6056578579635438,0.5142,0.5279,0.5157657657657658,0.5115511551155115,0.505317426714154,0.5027,0.5,0.502,0.5020161290322581,0.5291538798772468,0.4704,0.574,0.4922048997772828,0.46803652968036535
337,1,0.5176,0.6128,0.4574209245742093,0.48886138613861385,0.5676815340980397,0.5299,0.5170454545454546,0.489402697495183,0.4311493963782696,0.4947,0.4401,0.613682092555332,0.5403987408184681,0.5179405874499332,0.5467000000000001,0.524,0.5347490347490348,0.5192307692307692,0.5283384381790099,0.588,0.4901,0.6223908918406073,0.5159165751920967
338,1,0.5458,0.5844,0.50752688172043,0.4941176470588235,0.505376594900982,0.5346000000000001,0.4931237721021611,0.4795321637426901,0.47202737866274463,0.4936,0.45439999999999997,0.5071283095723015,0.5118025751072961,0.49692600718470475,0.4953,0.4532,0.5328185328185328,0.5005025125628141,0.5546926036147202,0.4802,0.4646,0.504016064257028,0.5160575858250276
339,1,0.4637,0.6046,0.5775401069518716,0.5286284953395474,0.5130697491133587,0.5004,0.4951644100580271,0.4947064485081809,0.4778530160899547,0.46590000000000004,0.4854,0.5674044265593561,0.5063291139240507,0.5025975655665704,0.48610000000000003,0.48229999999999995,0.5261044176706827,0.5109261186264309,0.5528000571197372,0.4886,0.46509999999999996,0.5017667844522968,0.5359408033826639
340,1,0.4719,0.5385,0.4215686274509804,0.4599056603773585,0.5450243061807145,0.5004,0.4951644100580271,0.4947064485081809,0.4778530160899547,0.5166,0.5473,0.5522388059701493,0.5043731778425655,0.4142947661893296,0.5027,0.5,0.502,0.5020161290322581,0.5291538798772468,0.47409999999999997,0.5835,0.4600389863547758,0.5080558539205156
341,0,0.4858,0.4583,0.5210918114143921,0.5037037037037037,0.49038546482523043,0.4936,0.4894433781190019,0.4875576036866359,0.39434214203645623,0.5265,0.6894,0.5652173913043479,0.4936842105263158,0.529883843717001,0.5273,0.5442,0.51434034416826,0.5121457489878543,0.46633228570198476,0.4464,0.5316,0.4028629856850716,0.4757174392935983
342,1,0.5,0.45270000000000005,0.5105882352941177,0.5149625935162095,0.5462706384944002,0.5188,0.5620805369127517,0.5037105751391465,0.43319436991786026,0.5225,0.37729999999999997,0.3790035587188612,0.4632829373650108,0.5125931354586539,0.52,0.5346,0.5516528925619835,0.5303810504634398,0.54358045116731,0.488,0.5775,0.42752293577981654,0.48466981132075465
343,0,0.53,0.5587,0.5730593607305936,0.5406976744186046,0.506208911614317,0.5186999999999999,0.4980620155038759,0.4933837429111531,0.5431825721552582,0.4647,0.5543,0.5599999999999999,0.5137816979051819,0.48326279338207,0.4926,0.49560000000000004,0.44580777096114516,0.4798792756539235,0.440300642376011,0.4989,0.5403,0.5038167938931297,0.4927536231884058
344,1,0.4769,0.5257999999999999,0.5509138381201044,0.5025125628140704,0.5073768308921438,0.4618,0.4642126789366053,0.49798792756539234,0.47777280191073296,0.5383,0.8404,0.5387596899224806,0.5128205128205128,0.5326435082532643,0.5047,0.5468,0.4671814671814672,0.49949748743718597,0.44530739638527983,0.4989,0.5403,0.5038167938931297,0.4927536231884058
